CustomerID,Lookalikes
C0001,"[('C0096', 0.5944), ('C0168', 0.5927), ('C0148', 0.5927)]"
C0002,"[('C0092', 0.5411), ('C0193', 0.541), ('C0007', 0.5408)]"
C0003,"[('C0031', 0.9948), ('C0168', 0.5886), ('C0096', 0.588)]"
C0004,"[('C0148', 0.9819), ('C0082', 0.6212), ('C0188', 0.6157)]"
C0005,"[('C0007', 0.9956), ('C0040', 0.5809), ('C0115', 0.5782)]"
C0006,"[('C0108', 0.9847), ('C0168', 0.6563), ('C0096', 0.6558)]"
C0007,"[('C0005', 0.9956), ('C0040', 0.6184), ('C0138', 0.6107)]"
C0008,"[('C0065', 0.5727), ('C0156', 0.5724), ('C0188', 0.5707)]"
C0009,"[('C0198', 0.9957), ('C0062', 0.5131), ('C0199', 0.5131)]"
C0010,"[('C0132', 0.995), ('C0135', 0.5351), ('C0070', 0.5351)]"
C0011,"[('C0107', 0.9999), ('C0013', 0.9911), ('C0096', 0.6112)]"
C0012,"[('C0082', 0.6298), ('C0096', 0.6254), ('C0087', 0.622)]"
C0013,"[('C0011', 0.9911), ('C0107', 0.9898), ('C0082', 0.6507)]"
C0014,"[('C0060', 0.9909), ('C0089', 0.8879), ('C0198', 0.5126)]"
C0015,"[('C0050', 0.5549), ('C0185', 0.5544), ('C0020', 0.553)]"
C0016,"[('C0079', 0.6075), ('C0018', 0.6055), ('C0059', 0.6053)]"
C0017,"[('C0141', 0.9449), ('C0041', 0.5961), ('C0114', 0.5948)]"
C0018,"[('C0079', 0.6328), ('C0185', 0.6309), ('C0059', 0.6306)]"
C0019,"[('C0070', 0.9754), ('C0124', 0.5316), ('C0017', 0.5312)]"
C0020,"[('C0185', 0.6071), ('C0050', 0.6004), ('C0079', 0.5984)]"
